Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,"Is a medical center (e.g., hospital or clinic)"
JIANGSU PURECELL BIO MEDICINE TECHNOLOGY,[Not Available],"Jiangsu, China",Jiangsu Purecell Bio Medicine Technology specializes in biomedical technology and innovation.,[Not Available],Biomedical Technology,No,Yes,Yes,No
JIANGSU QITIAN GENE BIOLOGICAL TECHNOLOG,[Not Available],"Jiangsu, China",Jiangsu Qitian Gene Biological Technology focuses on gene technology and biological research.,[Not Available],Genetics,No,Yes,Yes,No
JIANGSU QUICK ARRAY TECHNOLOGY CO LTD,[Not Available],"Jiangsu, China",Jiangsu Quick Array Technology Co Ltd specializes in array technology and its applications.,[Not Available],Technology,No,Yes,No,No
JIANGSU REC-BIOTECHNOLOGY CO LTD,[Not Available],"Jiangsu, China",Jiangsu REC-Biotechnology Co Ltd focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANGSU REFONTECH IND CO LTD,[Not Available],"Jiangsu, China",Jiangsu Refontech Industrial Co Ltd specializes in industrial technology and applications.,[Not Available],Industrial Technology,No,Yes,No,No
JIANGSU RONGZHENG MEDICAL TECHNOLOGY CO,[Not Available],"Jiangsu, China",Jiangsu Rongzheng Medical Technology Co focuses on medical technology development and innovation.,[Not Available],Medical Technology,No,Yes,Yes,No
JIANGSU RUNHE SOFTWARE CO LTD,[Not Available],"Jiangsu, China",Jiangsu Runhe Software Co Ltd develops software solutions for various industries.,[Not Available],Software,No,Yes,No,No
JIANGSU SIMCERE PHARM CO LTD,[Not Available],"Jiangsu, China",Jiangsu Simcere Pharmaceutical Co Ltd specializes in pharmaceutical research and products.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
JIANGSU SIWEITE MEDICAL TECHNOLOGY CO,[Not Available],"Jiangsu, China",Jiangsu Siweite Medical Technology Co focuses on medical technology and innovation.,[Not Available],Medical Technology,No,Yes,Yes,No
JIANGSU SIXIANG SILK TECHNOLOGY CO LTD,[Not Available],"Jiangsu, China",Jiangsu Sixiang Silk Technology Co Ltd specializes in silk technology and manufacturing.,[Not Available],Textiles,No,Yes,No,No
JIANGSU SUPERBIO LIFE SCI CO LTD,[Not Available],"Jiangsu, China",Jiangsu Superbio Life Science Co Ltd focuses on life sciences and biotechnology.,[Not Available],Life Sciences,No,Yes,Yes,No
JIANGSU SUPERBIO MEDICAL TECHNOLOGY NANJ,[Not Available],"Jiangsu, China",Jiangsu Superbio Medical Technology Nanjing focuses on medical technology research and development.,[Not Available],Medical Technology,No,Yes,Yes,No
JIANGSU SUPERBIO STOCK CO LTD,[Not Available],"Jiangsu, China",Jiangsu Superbio Stock Co Ltd specializes in biotechnology and pharmaceutical products.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANGSU SYNTHGENE BIOTECHNOLOGY CO LTD,[Not Available],"Jiangsu, China",Jiangsu Synthgene Biotechnology Co Ltd focuses on synthetic biology and biotechnology research.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANGSU T-MAB BIOPHARMA CO LTD,[Not Available],"Jiangsu, China",Jiangsu T-MAB Biopharma Co Ltd specializes in biopharmaceutical research and development.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
JIANGSU TAIDE PHARMA CO LTD,[Not Available],"Jiangsu, China",Jiangsu Taide Pharma Co Ltd focuses on pharmaceutical development and production.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
JIANGSU TARGET BIOMEDICAL RES INST CO LTD,[Not Available],"Jiangsu, China",Jiangsu Target Biomedical Research Institute focuses on biomedical research and targeted therapies.,[Not Available],Biomedical Research,No,Yes,Yes,No
JIANGSU TIANYI AVIATION IND CO LTD,[Not Available],"Jiangsu, China",Jiangsu Tianyi Aviation Industry Co Ltd specializes in aviation technology and related industries.,[Not Available],Aviation,No,Yes,No,No
JIANGSU WELL BIOTECH CO LTD,[Not Available],"Jiangsu, China",Jiangsu Well Biotech Co Ltd focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANGSU XINSHENGYUAN BIOTECHNOLOGY CO,[Not Available],"Jiangsu, China",Jiangsu Xinshengyuan Biotechnology Co specializes in biotechnological innovations and products.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANGSU XINYUANSU PHARM TECHNOLOGY CO,[Not Available],"Jiangsu, China",Jiangsu Xinyuansu Pharm Technology Co focuses on pharmaceutical technology and development.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
JIANGSU YANFANG MEDICAL TECHNOLOGY CO,[Not Available],"Jiangsu, China",Jiangsu Yanfang Medical Technology Co develops medical technologies and innovations.,[Not Available],Medical Technology,No,Yes,Yes,No
JIANGSU YANGXIN BIOMEDICAL CO LTD,[Not Available],"Jiangsu, China",Jiangsu Yangxin Biomedical Co Ltd specializes in biomedical research and development.,[Not Available],Biomedical,No,Yes,Yes,No
JIANGSU YAOYANDA TECHNOLOGY DEV CO LTD,[Not Available],"Jiangsu, China",Jiangsu Yaoyanda Technology Development Co Ltd focuses on technological development and innovation.,[Not Available],Technology,No,Yes,No,No
JIANGSU YIMAO FILTER MATERIAL CO LTD,[Not Available],"Jiangsu, China",Jiangsu Yimao Filter Material Co Ltd specializes in filter materials and technologies.,[Not Available],Filter Materials,No,Yes,No,No
JIANGSU YINUOWEISHENG BIOTECHNOLOGY CO,[Not Available],"Jiangsu, China",Jiangsu Yinuoweisheng Biotechnology Co focuses on biotechnology and biomedical solutions.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANGSU YUAN BIOTECHNOLOGY CO LTD,[Not Available],"Jiangsu, China",Jiangsu Yuan Biotechnology Co Ltd specializes in biotechnological products and research.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANGSU YUANSHANG MOLECULAR ENG RES CENT,[Not Available],"Jiangsu, China",Jiangsu Yuanshang Molecular Engineering Research Center focuses on molecular engineering research.,[Not Available],Molecular Engineering,No,Yes,Yes,No
JIANGSU YUGONG BIOLABS INC,[Not Available],"Jiangsu, China",Jiangsu Yugong Biolabs Inc specializes in biotechnology and laboratory services.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANGSU ZEKAI BIOMEDICAL TECHNOLOGY CO,[Not Available],"Jiangsu, China",Jiangsu Zekai Biomedical Technology Co focuses on biomedical technology and innovations.,[Not Available],Biomedical Technology,No,Yes,Yes,No
JIANGSU ZHONGJI HEALTH MANAGEMENT CO LTD,[Not Available],"Jiangsu, China",Jiangsu Zhongji Health Management Co Ltd specializes in health management and services.,[Not Available],Health Management,No,Yes,No,No
JIANGSU ZHOUJIJIE INTELLIGENT TECHNOLOGY,[Not Available],"Jiangsu, China",Jiangsu Zhoujijie Intelligent Technology focuses on intelligent technologies and solutions.,[Not Available],Intelligent Technology,No,Yes,No,No
JIANGSUHENGRUI PHARM CO LTD,[Not Available],"Jiangsu, China",JiangsuHengrui Pharm Co Ltd specializes in pharmaceutical products and research.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
JIANGXI ACAD SCI MICROORGANISMS INST,[Not Available],"Jiangxi, China",Jiangxi Academy of Sciences Microorganisms Institute focuses on microbiology and related research.,[Not Available],Microbiology,Yes,No,Yes,No
JIANGXI CAODONG CHARITABLE FOUND,[Not Available],"Jiangxi, China",Jiangxi Caodong Charitable Foundation supports various charitable activities and research.,[Not Available],Charity,No,No,No,No
JIANGXI DESHANG MEDICAL RES INST CO LTD,[Not Available],"Jiangxi, China",Jiangxi Deshang Medical Research Institute focuses on medical research and development.,[Not Available],Medical Research,No,Yes,Yes,No
JIANGXI DESHANG PHARM CO LTD,[Not Available],"Jiangxi, China",Jiangxi Deshang Pharm Co Ltd focuses on pharmaceutical development and manufacturing.,[Not Available],Pharmaceuticals,No,Yes,No,No
JIANGXI GUXIANG JINYUN GREAT HEALTH IND,[Not Available],"Jiangxi, China",Jiangxi Guixiang Jinyun Great Health Industry specializes in health products and services.,[Not Available],Health Products,No,Yes,No,No
JIANGXI HAORAN BIOPHARMACEUTICAL CO LTD,[Not Available],"Jiangxi, China",Jiangxi Haoran Biopharmaceutical Co Ltd develops biopharmaceutical products and technologies.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
JIANGXI HUANXINGGU TECHNOLOGY CO LTD,[Not Available],"Jiangxi, China",Jiangxi Huanxinggu Technology Co Ltd focuses on technology development and innovation.,[Not Available],Technology,No,Yes,No,No
JIANGXI JEMINCARE GROUP CO LTD,[Not Available],"Jiangxi, China",Jiangxi JeminCare Group Co Ltd specializes in healthcare products and services.,[Not Available],Healthcare,No,Yes,No,No
JIANGXI JIANWEI BIOTECHNOLOGY CO LTD,[Not Available],"Jiangxi, China",Jiangxi Jianwei Biotechnology Co Ltd focuses on biotechnology research and products.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANGXI JINGMEIRUI BIOMEDICAL CO LTD,[Not Available],"Jiangxi, China",Jiangxi Jingmeirui Biomedical Co Ltd specializes in biomedical research and technology.,[Not Available],Biomedical,No,Yes,Yes,No
JIANGXI LECHENG BIOMEDICAL CO LTD,[Not Available],"Jiangxi, China",Jiangxi Lecheng Biomedical Co Ltd focuses on biomedical solutions and products.,[Not Available],Biomedical,No,Yes,Yes,No
JIANGXI LONGLAI BIO-PHARM CO LTD,[Not Available],"Jiangxi, China",Jiangxi Longlai Bio-Pharm Co Ltd specializes in biopharmaceutical products and development.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
JIANGXI QINGFENG PHARM CO LTD,[Not Available],"Jiangxi, China",Jiangxi Qingfeng Pharm Co Ltd develops and manufactures pharmaceutical products.,[Not Available],Pharmaceuticals,No,Yes,No,No
JIANGXI RUIZHIHE MEDICAL DEVICES CO LTD,[Not Available],"Jiangxi, China",Jiangxi Ruizhihe Medical Devices Co Ltd specializes in medical devices and technologies.,[Not Available],Medical Devices,No,Yes,No,No
JIANGXI TRADITIONAL CHINESE MEDICINE,[Not Available],"Jiangxi, China",Jiangxi Traditional Chinese Medicine focuses on traditional Chinese medical practices and products.,[Not Available],Traditional Medicine,No,Yes,Yes,No
JIANGXI ZHENGBANG AGRIC SCI ACAD,[Not Available],"Jiangxi, China",Jiangxi Zhengbang Agricultural Science Academy focuses on agricultural research and development.,[Not Available],Agricultural Science,Yes,No,Yes,No
JIANGXI ZHENGBANG TECHNOLOGY CO LTD,[Not Available],"Jiangxi, China",Jiangxi Zhengbang Technology Co Ltd specializes in technology and product development.,[Not Available],Technology,No,Yes,No,No
JIANGYAOSHENGYI CO LTD,[Not Available],"Jiangsu, China",Jiangyaoshengyi Co Ltd focuses on pharmaceutical and biotechnology research.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
JIANGYIN TIANZE MEDICAL EXAMINATION LAB,[Not Available],"Jiangsu, China",Jiangyin Tianze Medical Examination Lab provides medical testing and examination services.,[Not Available],Medical Testing,No,Yes,No,Yes
JIANKANG PHARM IND CHINA CO LTD,[Not Available],[Not Available],Jiankang Pharm Industry China Co Ltd specializes in pharmaceuticals and related industries.,[Not Available],Pharmaceuticals,No,Yes,No,No
JIANKANGYUAN PHARM GROUP CO LTD,[Not Available],[Not Available],Jiankangyuan Pharm Group Co Ltd focuses on pharmaceutical products and research.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
JIANMAO BIOTECH CO LTD,[Not Available],[Not Available],Jianmao Biotech Co Ltd specializes in biotechnology research and products.,[Not Available],Biotechnology,No,Yes,Yes,No
JIANYIN ENG CONSULTING CO LTD,[Not Available],[Not Available],Jianyin Engineering Consulting Co Ltd provides consulting services in engineering and technology.,[Not Available],Consulting,No,Yes,No,No
JIAOHONG BIOTECH SHANGHAI CO LTD,[Not Available],"Shanghai, China",Jiaohong Biotech Shanghai Co Ltd specializes in biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
JIAPEI MEDICAL TECHNOLOGY SHANGHAI CO LTD,[Not Available],"Shanghai, China",Jiapei Medical Technology Shanghai Co Ltd focuses on medical technology and innovation.,[Not Available],Medical Technology,No,Yes,No,No
JIASU KK,[Not Available],[Not Available],"Jiasu KK specializes in [specific industry or field, if available].",[Not Available],[Not Available],No,Yes,No,No
JIAXING ANDIKANG BIOTECHNOLOGY CO LTD,[Not Available],"Jiaxing, China",Jiaxing Andikang Biotechnology Co Ltd focuses on biotechnology and related research.,[Not Available],Biotechnology,No,Yes,Yes,No
JIAXING ANYU BIOTECHNOLOGY CO LTD,[Not Available],"Jiaxing, China",Jiaxing Anyu Biotechnology Co Ltd specializes in biotech research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
JIAXING BAORAN BIOTECHNOLOGY CO LTD,[Not Available],"Jiaxing, China",Jiaxing Baoran Biotechnology Co Ltd focuses on biotechnology and healthcare solutions.,[Not Available],Biotechnology,No,Yes,Yes,No
JIAXING JIEXIANG SANITARY WARE PROD CO,[Not Available],"Jiaxing, China",Jiaxing Jiexiang Sanitary Ware Products Co specializes in sanitary ware and related products.,[Not Available],Sanitary Ware,No,Yes,No,No
JIAXING JINPAITE BIOTECHNOLOGY CO LTD,[Not Available],"Jiaxing, China",Jiaxing Jinpaite Biotechnology Co Ltd focuses on biotechnology and pharmaceutical research.,[Not Available],Biotechnology,No,Yes,Yes,No
JIAXING KANGHUA MEDICAL LAB CO LTD,[Not Available],"Jiaxing, China",Jiaxing Kanghua Medical Lab Co Ltd specializes in medical testing and laboratory services.,[Not Available],Medical Laboratory,No,Yes,No,Yes
JIAXING POWER SUPPLY CO STATE GRID ZHEJI,[Not Available],"Jiaxing, China","Jiaxing Power Supply Co, part of State Grid Zhejiang, focuses on power supply and infrastructure.",[Not Available],Power Supply,No,Yes,No,No
JIAXING PRACTICE MEDICINE TECHNOLOGY CO LTD,[Not Available],"Jiaxing, China",Jiaxing Practice Medicine Technology Co Ltd specializes in medical technology and practice solutions.,[Not Available],Medical Technology,No,Yes,No,No
JIAXING TEKELUO BIOLOGICAL TECHNOLOGY CO,[Not Available],"Jiaxing, China",Jiaxing Tekeluo Biological Technology Co Ltd focuses on biological technology and innovations.,[Not Available],Biological Technology,No,Yes,Yes,No
JIBE LIGHTING NORTH AMERICA LLC,[Not Available],[Not Available],Jibe Lighting North America LLC specializes in lighting solutions and products.,[Not Available],Lighting,No,Yes,No,No
JIEKU SHANGHAI BIOMEDICAL RES CO LTD,[Not Available],"Shanghai, China",Jieku Shanghai Biomedical Research Co Ltd focuses on biomedical research and development.,[Not Available],Biomedical Research,No,Yes,Yes,No
JIERYANG BIOTECH INC,[Not Available],[Not Available],Jieryang Biotech Inc specializes in biotechnology research and applications.,[Not Available],Biotechnology,No,Yes,Yes,No
JIHUA LAB,[Not Available],[Not Available],"Jihua Lab focuses on research and development in [specific field, if available].",[Not Available],[Not Available],No,Yes,Yes,No
JILIN DRUG ADMINISTRATION,[Not Available],"Jilin, China",Jilin Drug Administration is responsible for drug regulation and administration in the region.,[Not Available],Drug Regulation,Yes,No,No,No
JILIN HUAKANG PHARM CO LTD,[Not Available],"Jilin, China",Jilin Huakang Pharm Co Ltd specializes in pharmaceutical development and manufacturing.,[Not Available],Pharmaceuticals,No,Yes,No,No
JILIN NIUZHUOLAI BIOTECHNOLOGY CO LTD,[Not Available],"Jilin, China",Jilin Niuzhuolai Biotechnology Co Ltd focuses on biotechnology and pharmaceutical research.,[Not Available],Biotechnology,No,Yes,Yes,No
JILIN NORTHEAST ASIA PHARM CO LTD,[Not Available],"Jilin, China",Jilin Northeast Asia Pharm Co Ltd specializes in pharmaceutical products and research.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
JILIN QIANMAI TESTING CO LTD,[Not Available],"Jilin, China",Jilin Qianmai Testing Co Ltd specializes in testing and quality control services.,[Not Available],Testing Services,No,Yes,No,No
JILIN SHUANGZHENG MEDICAL TECHNOLOGY CO,[Not Available],"Jilin, China",Jilin Shuangzheng Medical Technology Co focuses on medical technology development and services.,[Not Available],Medical Technology,No,Yes,No,No
JILIN SIHUAN PHARM CO LTD,[Not Available],"Jilin, China",Jilin Sihuan Pharm Co Ltd specializes in pharmaceutical products and research.,[Not Available],Pharmaceuticals,No,Yes,No,No
JILIN SONGBAO BIOTECHNOLOGY IND CO LTD,[Not Available],"Jilin, China",Jilin Songbao Biotechnology Industry Co Ltd focuses on biotechnology research and industrial applications.,[Not Available],Biotechnology,No,Yes,Yes,No
JILIN WOSEN BIOTECHNOLOGY CO LTD,[Not Available],"Jilin, China",Jilin Wosen Biotechnology Co Ltd specializes in biotechnology and related research.,[Not Available],Biotechnology,No,Yes,Yes,No
JILIN YATAI PHARM CO LTD,[Not Available],"Jilin, China",Jilin Yatai Pharm Co Ltd focuses on pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,No,No
JILIN YUEYANG BLOOD PLASMA PROTEIN RES,[Not Available],"Jilin, China",Jilin Yueyang Blood Plasma Protein Research focuses on research related to blood plasma proteins.,[Not Available],Medical Research,No,Yes,Yes,No
JILIN ZHONGKE BIO-ENG CO LTD,[Not Available],"Jilin, China",Jilin Zhongke Bio-Eng Co Ltd specializes in biotechnology and bioengineering.,[Not Available],Biotechnology,No,Yes,Yes,No
JILIN ZHONGMING BIOTECHNOLOGY CO LTD,[Not Available],"Jilin, China",Jilin Zhongming Biotechnology Co Ltd focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
JINAN BABIO BIOTECHNOLOGY CO LTD,[Not Available],"Jinan, China",Jinan Babio Biotechnology Co Ltd specializes in biotechnology and pharmaceutical research.,[Not Available],Biotechnology,No,Yes,Yes,No
JINAN CENT HOSPITAL,[Not Available],"Jinan, China",Jinan Cent Hospital is a medical institution providing a range of healthcare services.,[Not Available],Healthcare,No,No,No,Yes
JINAN CHAIN MEDICAL LABS CO LTD,[Not Available],"Jinan, China",Jinan Chain Medical Labs Co Ltd focuses on medical laboratory services.,[Not Available],Medical Laboratory,No,Yes,No,No
JINAN GUOYI BIOTECHNOLOGY CO LTD,[Not Available],"Jinan, China",Jinan Guoyi Biotechnology Co Ltd specializes in biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
JINAN HANGCHEN BIOTECHNOLOGY CO LTD,[Not Available],"Jinan, China",Jinan Hangchen Biotechnology Co Ltd focuses on biotech solutions and research.,[Not Available],Biotechnology,No,Yes,Yes,No
JINAN INSPUR DATA TECHNOLOGY CO LTD,[Not Available],"Jinan, China",Jinan Inspur Data Technology Co Ltd specializes in data technology and computing solutions.,[Not Available],Data Technology,No,Yes,No,No
JINAN KAIPU MEDICAL EXAMINATION LAB CO,[Not Available],"Jinan, China",Jinan Kaipu Medical Examination Lab Co focuses on medical examination and testing services.,[Not Available],Medical Examination,No,Yes,No,Yes
JINAN MINGYU MEDICAL LAB CO LTD,[Not Available],"Jinan, China",Jinan Mingyu Medical Lab Co Ltd specializes in medical laboratory services.,[Not Available],Medical Laboratory,No,Yes,No,No
JINAN QILU CLINICAL LAB CO LTD,[Not Available],"Jinan, China",Jinan Qilu Clinical Lab Co Ltd provides clinical laboratory testing services.,[Not Available],Clinical Laboratory,No,Yes,No,Yes
JINAN XINGQI CLINICAL LAB CO LTD,[Not Available],"Jinan, China",Jinan Xingqi Clinical Lab Co Ltd focuses on clinical laboratory services.,[Not Available],Clinical Laboratory,No,Yes,No,Yes
JINAN ZHONGHAI PURIFY ENG CO LTD,[Not Available],"Jinan, China",Jinan Zhonghai Purify Engineering Co Ltd specializes in purification and environmental technology.,[Not Available],Purification Technology,No,Yes,No,No
JINDAWEI BIOTECHNOLOGY JIANGSU CO LTD,[Not Available],"Jiangsu, China",Jindawei Biotechnology Jiangsu Co Ltd focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
JINGHUA PHARM GROUP CO LTD,[Not Available],"Jinghua, China",Jinghua Pharm Group Co Ltd specializes in pharmaceutical research and manufacturing.,[Not Available],Pharmaceuticals,No,Yes,No,No
JINGJIANG PEOPLES HOSPITAL,[Not Available],"Jingjiang, China",Jingjiang People's Hospital provides comprehensive medical services to the local community.,[Not Available],Healthcare,No,No,No,Yes
JINGPAI CHIZHENGTANG PHARM CO LTD,[Not Available],[Not Available],Jingpai Chizhengtang Pharm Co Ltd specializes in pharmaceutical products and research.,[Not Available],Pharmaceuticals,No,Yes,No,No
JINGRUI SHENZHEN TECHNOLOGY INNOVATION,[Not Available],"Shenzhen, China",Jingrui Shenzhen Technology Innovation focuses on technological and innovative solutions.,[Not Available],Technology,No,Yes,No,No
JINGYAOSHENGYI CO LTD,[Not Available],[Not Available],Jingyaoshengyi Co Ltd specializes in medical and biotechnology research.,[Not Available],Biotechnology,No,Yes,Yes,No
JINHUA CENT HOSPITAL,[Not Available],"Jinhua, China",Jinhua Cent Hospital provides a range of medical services and healthcare solutions.,[Not Available],Healthcare,No,No,No,Yes
JINHUA MUNICIPAL CENT HOSPITAL,[Not Available],"Jinhua, China",Jinhua Municipal Cent Hospital offers comprehensive healthcare services and medical treatment.,[Not Available],Healthcare,No,No,No,Yes
JINING NO 1 PEOPLES HOSPITAL,[Not Available],"Jining, China",Jining No 1 People's Hospital provides extensive medical services and healthcare to the public.,[Not Available],Healthcare,No,No,No,Yes
JINN HYUNSECURITYSERVICE CO LTD,[Not Available],[Not Available],Jinn Hyunsecurityservice Co Ltd specializes in security services and solutions.,[Not Available],Security Services,No,Yes,No,No
JINON BIOTECH CO LTD,[Not Available],[Not Available],Jinon Biotech Co Ltd focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
JINSHI ZHIZAO TIANJIN MEDICAL TECHNOLOGY,[Not Available],"Tianjin, China",Jinshi Zhizao Tianjin Medical Technology specializes in medical technology and innovation.,[Not Available],Medical Technology,No,Yes,No,No
JINUOWEI LANGFANG LINKONG FREE TRADE ZONE BIOLOGICAL PROD,[Not Available],"Langfang, China",Jinuowei Langfang Linkong Free Trade Zone focuses on biological products and biotech solutions.,[Not Available],Biotechnology,No,Yes,Yes,No
JINYAN INT LIFE TECHNOLOGY CO LTD,[Not Available],[Not Available],Jinyan Int Life Technology Co Ltd specializes in life sciences technology and solutions.,[Not Available],Life Sciences Technology,No,Yes,No,No
JINYAO DARENTANG GROUP CO LTD TRADITIONAL,[Not Available],[Not Available],Jinyao Darentang Group Co Ltd focuses on traditional medicine and pharmaceutical products.,[Not Available],Traditional Medicine,No,Yes,No,No
JINYU BAOLING BIO PHARM CO LTD,[Not Available],[Not Available],Jinyu Baoling Bio Pharm Co Ltd specializes in biological pharmaceuticals and biotech research.,[Not Available],Biotechnology,No,Yes,Yes,No
JIPAIDE BIOMEDICAL TECHNOLOGY HEBEI CO,[Not Available],"Hebei, China",Jipaide Biomedical Technology Hebei Co focuses on biomedical technology research and development.,[Not Available],Biomedical Technology,No,Yes,Yes,No
JIREH MATERIAL TECHNOLOGY LTD,[Not Available],[Not Available],Jireh Material Technology Ltd specializes in material technology and solutions.,[Not Available],Material Technology,No,Yes,No,No
JISIKAI SUZHOU PHARM CO LTD,[Not Available],"Suzhou, China",Jisikai Suzhou Pharm Co Ltd focuses on pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,No,No
JIUJIU MEDICAL TECHNOLOGY SHENZHEN CO,[Not Available],"Shenzhen, China",Jiujjiu Medical Technology Shenzhen Co specializes in medical technology and solutions.,[Not Available],Medical Technology,No,Yes,No,No
JIUXIN WUHAN CHINESE MEDICINE INST CO,[Not Available],"Wuhan, China",Jiuxin Wuhan Chinese Medicine Institute Co focuses on research and development of traditional Chinese medicine.,[Not Available],Traditional Chinese Medicine,No,Yes,Yes,No
JIYA BIOTECHNOLOGY HOLDINGS CO LTD,[Not Available],[Not Available],Jiya Biotechnology Holdings Co Ltd is involved in biotechnology research and investment.,[Not Available],Biotechnology,No,Yes,Yes,No
JK HOLDING GMBH,[Not Available],[Not Available],"JK Holding GmbH is involved in various business sectors, including biotechnology and pharmaceuticals.",[Not Available],Business Holdings,No,Yes,No,No
JK LIFE SCI CO LTD,[Not Available],[Not Available],JK Life Sci Co Ltd specializes in life sciences research and development.,[Not Available],Life Sciences,No,Yes,Yes,No
JK RES & ENG PTE LTD,[Not Available],[Not Available],JK Res & Eng Pte Ltd focuses on research and engineering solutions.,[Not Available],Research & Engineering,No,Yes,No,No
JKT BIOPHARMA CO LTD,[Not Available],[Not Available],JKT Biopharma Co Ltd specializes in biopharmaceutical products and research.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
JLK INC,[Not Available],[Not Available],JLK Inc focuses on various technological and scientific advancements.,[Not Available],Technology,No,Yes,No,No
JMP INGENIEROS SL,[Not Available],[Not Available],JMP Ingenieros SL specializes in engineering services and solutions.,[Not Available],Engineering,No,Yes,No,No
JMS CO LTD,[Not Available],[Not Available],JMS Co Ltd focuses on medical and biotechnology solutions.,[Not Available],Biotechnology,No,Yes,No,No
JNC CORP,[Not Available],[Not Available],JNC Corp specializes in industrial and technological solutions.,[Not Available],Industrial Technology,No,Yes,No,No
JOAH LOVE LLC,[Not Available],[Not Available],Joah Love LLC specializes in health and wellness products.,[Not Available],Health & Wellness,No,Yes,No,No
JOFUNHWA BIOTECHNOLOGY CO LTD,[Not Available],[Not Available],Jofunhwa Biotechnology Co Ltd focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
JOHNS MEDIA CO LTD,[Not Available],[Not Available],Johns Media Co Ltd is involved in media and communications.,[Not Available],Media,No,Yes,No,No
JOHNSON & JOHNSON INC,[Not Available],[Not Available],"Johnson & Johnson Inc is a major player in pharmaceuticals, medical devices, and consumer health products.",[Not Available],Pharmaceuticals & Medical Devices,No,Yes,No,No
JOHNSON CONTROLS TYCO IP HOLDINGS LLP,[Not Available],[Not Available],Johnson Controls Tyco IP Holdings LLP specializes in building technologies and solutions.,[Not Available],Building Technologies,No,Yes,No,No
JOINSTAR BIOTECHNOLOGY CO LTD,[Not Available],[Not Available],Joinstar Biotechnology Co Ltd focuses on biotechnology innovation and research.,[Not Available],Biotechnology,No,Yes,Yes,No
JOLLIBEE FOODS CORP,[Not Available],[Not Available],Jollibee Foods Corp is a major global fast-food chain.,[Not Available],Fast Food,No,Yes,No,No
JONES DEAL LLC,[Not Available],[Not Available],Jones Deal LLC specializes in various investment and business services.,[Not Available],Investment Services,No,Yes,No,No
JOSEP CARRERAS LEUKAEMIA RES INST,[Not Available],[Not Available],Josep Carreras Leukaemia Research Institute focuses on leukemia research and treatment.,[Not Available],Medical Research,No,No,Yes,No
JOUNCE THERAPEUTICS INC,[Not Available],[Not Available],Jounce Therapeutics Inc specializes in immuno-oncology therapies and treatments.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
JOYSBIO TIANJIN BIOTECHNOLOGY CO LTD,[Not Available],"Tianjin, China",Joysbio Tianjin Biotechnology Co Ltd focuses on the development and manufacture of biotechnology products.,[Not Available],Biotechnology,No,Yes,No,No
JSM HEALTHCARE INC,[Not Available],[Not Available],JSM Healthcare Inc specializes in healthcare products and services.,[Not Available],Healthcare,No,Yes,No,No
JU XIE CHANG BEIJING PHARM CO LTD,[Not Available],"Beijing, China",Ju Xie Chang Beijing Pharm Co Ltd is involved in pharmaceutical research and manufacturing.,[Not Available],Pharmaceuticals,No,Yes,No,No
JUBILANT GENERICS LTD,[Not Available],[Not Available],Jubilant Generics Ltd focuses on generic pharmaceuticals and drug development.,[Not Available],Pharmaceuticals,No,Yes,No,No
JUBILANT PHARMA HOLDINGS INC,[Not Available],[Not Available],Jubilant Pharma Holdings Inc specializes in pharmaceutical products and solutions.,[Not Available],Pharmaceuticals,No,Yes,No,No
JUMBO DRUG BANK CO LTD,[Not Available],[Not Available],Jumbo Drug Bank Co Ltd is involved in pharmaceuticals and drug distribution.,[Not Available],Pharmaceuticals,No,Yes,No,No
