Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,Is a medical center (e.g. hospital or clinic),Institution Name
CHENGDU YUEWEILAN BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company engaged in the research, development, and production of biopharmaceutical products, including vaccines, therapeutic proteins, and diagnostics for various healthcare applications.",[Not Available],Biotechnology and Biopharmaceuticals,No,Yes,Yes,No,
CHENGDU YUKANG BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company focused on the development and production of innovative biotech products, including diagnostic tools, therapeutic proteins, and vaccines, aimed at improving healthcare outcomes.",[Not Available],Biotechnology and Biopharmaceuticals,No,Yes,Yes,No,
CHENGDU ZENABLE BIOSCIENCE CO LTD,[Not Available],China,"A biotechnology company specializing in the research, development, and commercialization of biopharmaceutical products, with a focus on innovative therapies and diagnostic tools for various diseases.",[Not Available],Biotechnology and Biopharmaceuticals,No,Yes,Yes,No,
CHENGDU ZHENDAO TECHNOLOGY CO LTD,[Not Available],China,"A technology company engaged in the development and application of advanced technologies in various industries, including biotechnology, electronics, and automation, focusing on innovation and quality.",[Not Available],Technology and Innovation,No,Yes,No,No,
CHENGDU ZIHAO PHARM CO LTD,[Not Available],China,"A pharmaceutical company involved in the research, development, and production of innovative drug products, focusing on small molecules, biologics, and other therapeutic solutions for various diseases.",[Not Available],Pharmaceuticals and Drug Development,No,Yes,Yes,No,
CHENGDU ZIWANG PHARM CO LTD,[Not Available],China,"A pharmaceutical company specializing in the development and production of traditional Chinese medicine and modern pharmaceutical products, aiming to integrate traditional and modern therapeutic approaches.",[Not Available],Pharmaceuticals and Traditional Medicine,No,Yes,No,No,
CHIMERON BIO CORP,[Not Available],United States,"A biotechnology company focused on the development of RNA-based therapeutics and vaccines, utilizing proprietary platforms to address unmet medical needs in various diseases.",[Not Available],Biotechnology and RNA Therapeutics,No,Yes,Yes,No,
CHINA ACAD CHINESE MEDICAL SCI INST BASI,[Not Available],China,"A research institute under the China Academy of Chinese Medical Sciences, specializing in the basic research of traditional Chinese medicine, contributing to the integration of traditional and modern medicine.",[Not Available],Traditional Chinese Medicine Research,Yes,No,Yes,No,
CHINA ANIMAL DISEASE CONTROL CENT,[Not Available],China,"A central government institution responsible for the prevention and control of animal diseases in China, including the research and implementation of strategies to manage and eradicate animal diseases.",[Not Available],Animal Health and Disease Control,Yes,No,Yes,No,
CHINA ANIMAL HUSBANDRY IND CO LTD,[Not Available],China,"A company engaged in animal husbandry and agriculture, focusing on the breeding, production, and marketing of livestock, as well as the development of related technologies and products.",[Not Available],Agriculture and Animal Husbandry,No,Yes,No,No,
CHINA ATOMIC ENERGY INST,[Not Available],China,"A research institute focused on atomic energy research and development, including nuclear technology, nuclear safety, and applications of nuclear energy in various fields.",[Not Available],Nuclear Energy Research and Development,Yes,No,Yes,No,
CHINA CENT DISEASE CONTROL & PREVENTION,[Not Available],China,"The national public health institute of China, responsible for disease control, prevention, and research. It provides guidelines, research, and support to improve public health across the country.",[Not Available],Public Health and Disease Control,Yes,No,Yes,Yes,
CHINA CONSTR EIGHTH BUREAU WEST DEV CO,[Not Available],China,"A subsidiary of China Construction, specializing in large-scale construction projects in western China, including infrastructure development, residential, and commercial buildings.",[Not Available],Construction and Engineering,No,Yes,No,No,
CHINA CONSTR SCI & IND CORP LTD,[Not Available],China,"A leading construction and engineering company in China, involved in infrastructure development, industrial construction, and civil engineering projects across the country and internationally.",[Not Available],Construction and Engineering,No,Yes,No,No,
CHINA CONSTR SECOND ENG BUREAU,[Not Available],China,"A major engineering bureau under the China State Construction Engineering Corporation, responsible for large-scale construction projects, including commercial buildings, infrastructure, and residential developments.",[Not Available],Construction and Engineering,No,Yes,No,No,
CHINA CONSTR SIXTH ENG DIV CORP LTD,[Not Available],China,"A division of China Construction, specializing in engineering and construction services, including the development of large-scale infrastructure projects, industrial facilities, and residential complexes.",[Not Available],Construction and Engineering,No,Yes,No,No,
CHINA CONSTR THIRD BUREAU ENG CO LTD,[Not Available],China,"A leading construction bureau under China State Construction, focused on the design, construction, and management of large-scale engineering projects, including urban development and infrastructure.",[Not Available],Construction and Engineering,No,Yes,No,No,
CHINA CUSTOMS SCI & TECHNOLOGY RES CENT,[Not Available],China,"A research center under the General Administration of Customs, providing scientific and technological support for customs operations, including the development of inspection technologies and regulatory compliance.",[Not Available],Government Services and Technology,Yes,No,Yes,No,
CHINA DAILY CHEM CO LTD RES INST,[Not Available],China,"A research institute affiliated with a leading daily chemical products company, focusing on the development of new formulations, product innovations, and quality improvements in household and personal care products.",[Not Available],Chemical Products and Research,No,Yes,Yes,No,
CHINA INSPECTION SCI PHARM BEIJING GROUP,[Not Available],China,"A group focused on the inspection, testing, and certification of pharmaceutical products, ensuring compliance with regulatory standards and quality control in the pharmaceutical industry.",[Not Available],Pharmaceutical Inspection and Quality Control,No,Yes,Yes,No,
CHINA KWEICHOW MOUTAI DISTILLERY GROUP,[Not Available],China,"A well-known Chinese distillery group famous for producing Moutai, a premium baijiu (Chinese liquor). The group focuses on the production, distribution, and export of alcoholic beverages.",[Not Available],Distillery and Beverages,No,Yes,No,No,
CHINA MERCHANTS HEAVY IND JIANGSU CO LTD,[Not Available],China,"A subsidiary of China Merchants Group, specializing in heavy industry manufacturing, including shipbuilding, offshore engineering, and the production of large-scale industrial equipment.",[Not Available],Heavy Industry and Manufacturing,No,Yes,No,No,
CHINA MOBILE CHENGDU INFORMATION COMMUN,[Not Available],China,"A branch of China Mobile focused on providing information and communication technology (ICT) services in Chengdu, offering mobile network services, internet solutions, and digital communication products.",[Not Available],Telecommunications and ICT,No,Yes,No,No,
CHINA MOBILE COMMUNICATIONS GROUP CO LTD,[Not Available],China,"One of the largest telecommunications companies in China, providing mobile network services, broadband, and digital communication solutions across the country, with a focus on innovation and customer service.",[Not Available],Telecommunications and ICT,No,Yes,No,No,
CHINA NAT PHARM CNBG BIOTECHNOLOGY RES,[Not Available],China,"A biotechnology research center under China National Pharmaceutical Group (CNBG), focused on the development of biopharmaceutical products, including vaccines, therapeutic proteins, and diagnostics.",[Not Available],Biotechnology and Biopharmaceuticals,Yes,No,Yes,No,
CHINA NAT PHARM IND RES GEN,[Not Available],China,"A research institute under China National Pharmaceutical Group, specializing in pharmaceutical research and development, with a focus on innovative drug discovery and biotechnology.",[Not Available],Pharmaceutical Research and Biotechnology,Yes,No,Yes,No,
CHINA NAT RICE RES INST,[Not Available],China,"A national research institute dedicated to rice research and development, focusing on improving rice yields, quality, and resistance to diseases, contributing to food security and agricultural innovation.",[Not Available],Agricultural Research and Food Security,Yes,No,Yes,No,
CHINA NORTHWEST ARCHITECTURAL DESIGN,[Not Available],China,"An architectural design institute that provides comprehensive design services for a wide range of projects, including urban planning, residential complexes, and public infrastructure in Northwest China.",[Not Available],Architecture and Urban Planning,Yes,No,Yes,No,
CHINA NUCLEAR POWER OPERATION TECHNOLOGY,[Not Available],China,"A company specializing in the operation and maintenance of nuclear power plants, providing technical support, safety management, and innovation in nuclear energy production.",[Not Available],Nuclear Energy and Power Plant Operation,Yes,No,Yes,No,
CHINA PETROLEUM & CHEM CORP,[Not Available],China,"One of China's largest state-owned enterprises, engaged in the exploration, production, refining, and distribution of petroleum and chemical products, with a global presence in energy markets.",[Not Available],Energy and Chemical Engineering,Yes,No,Yes,No,
CHINA RAILWAY ENG CONSULTING GROUP CO LT,[Not Available],China,"A consulting firm under China Railway, providing engineering, design, and consulting services for railway projects, including infrastructure planning, construction management, and technological innovation.",[Not Available],Railway Engineering and Consulting,Yes,No,Yes,No,
CHINA RAILWAY SHANGHAI ENG BUREAU FIRST,[Not Available],China,"A construction bureau under China Railway, focused on railway infrastructure projects in Shanghai, including high-speed railways, urban transit systems, and related engineering services.",[Not Available],Railway Engineering and Construction,Yes,No,Yes,No,
CHINA RESOURCES BIOPHARM CO LTD,[Not Available],China,"A biopharmaceutical company under China Resources Group, focused on the development, production, and distribution of innovative biopharmaceutical products, including biologics and vaccines.",[Not Available],Biopharmaceuticals and Drug Development,No,Yes,Yes,No,
CHINA RESOURCES MICROELECTRONICS HOLDING,[Not Available],China,"A company under China Resources Group, specializing in the design, development, and manufacturing of microelectronic components and systems, serving various industries including electronics and telecommunications.",[Not Available],Microelectronics and Semiconductor Manufacturing,No,Yes,Yes,No,
CHINA SCI EVERLAST TECHNOLOGY CO LTD,[Not Available],China,"A technology company engaged in research and development in various high-tech fields, including biotechnology, information technology, and advanced materials, with a focus on innovation and sustainability.",[Not Available],High-Tech Research and Development,No,Yes,Yes,No,
CHINA SHIPBUILDING IND CORP INT ENG CO,[Not Available],China,"A subsidiary of China Shipbuilding Industry Corporation, involved in the design, engineering, and construction of ships and marine equipment, including commercial and military vessels.",[Not Available],Shipbuilding and Marine Engineering,Yes,No,Yes,No,
CHINA STATE SHIPBUILDING CORP NO 708 RES,[Not Available],China,"A research institute under China State Shipbuilding Corporation, specializing in marine engineering, ship design, and technology development for naval and commercial vessels.",[Not Available],Shipbuilding and Marine Engineering Research,Yes,No,Yes,No,
CHINA SURGICAL DRESSINGS CENT CO LTD,[Not Available],China,"A company specializing in the production and distribution of surgical dressings and medical supplies, providing essential products for healthcare facilities and medical professionals.",[Not Available],Medical Supplies and Healthcare,No,Yes,No,No,
CHINA TELECOM CORP LTD,[Not Available],China,"One of the largest telecommunications companies in China, providing a wide range of communication services, including mobile, broadband, and cloud computing, with a focus on innovation and digital transformation.",[Not Available],Telecommunications and ICT,Yes,No,Yes,No,
CHINA TELECOM DIGITAL INTELLIGENCE TECHN,[Not Available],China,"A division of China Telecom focused on digital intelligence technologies, providing solutions in areas such as artificial intelligence, big data, and IoT, aimed at enhancing digital services and infrastructure.",[Not Available],Digital Technology and Telecommunications,Yes,No,Yes,No,
CHINA THREE GORGES MEDICAL LAB HUBEI CO,[Not Available],China,"A medical laboratory affiliated with the China Three Gorges Corporation, providing diagnostic services, medical testing, and research in various medical fields, with a focus on improving healthcare services.",[Not Available],Medical Laboratory and Diagnostics,Yes,No,Yes,No,
CHINA UNITED NETWORK COMMUNICATIONS CORP,[Not Available],China,"A major telecommunications company in China, providing mobile, broadband, and ICT services nationwide, with a strong focus on innovation and expanding digital infrastructure.",[Not Available],Telecommunications and ICT,Yes,No,Yes,No,
CHINA WATERBORNE TRANSPORT RES INST,[Not Available],China,"A research institute focused on waterborne transport and maritime engineering, providing research, development, and consultancy services for the shipping and logistics industries.",[Not Available],Maritime Research and Transport Engineering,Yes,No,Yes,No,
CHINA-JAPAN FRIENDSHIP HOSPITAL,[Not Available],China,"A prominent hospital in Beijing known for providing high-quality healthcare services, including specialized treatments, surgery, and diagnostics, and for its collaboration with Japanese healthcare institutions.",[Not Available],Healthcare and Medical Services,Yes,No,Yes,Yes,
CHINA-US HENAN HORMEL CANCER INST,[Not Available],China,"A cancer research institute established through collaboration between Chinese and American institutions, focusing on cancer research, prevention, and treatment, with a strong emphasis on innovation and international cooperation.",[Not Available],Cancer Research and Healthcare,Yes,No,Yes,Yes,
CHINE LLC,[Not Available],United States,"A private company specializing in providing business and technology consulting services, focusing on innovation, digital transformation, and strategic planning for clients in various industries.",[Not Available],Business and Technology Consulting,No,Yes,No,No,
CHINEO MEDICAL TECHNOLOGY CO LTD,[Not Available],China,"A medical technology company focused on the development and commercialization of innovative medical devices and diagnostic tools, aimed at improving healthcare delivery and patient outcomes.",[Not Available],Medical Technology and Devices,No,Yes,Yes,No,
CHINESE ACAD AGRIC SCI BIOTECHNOLOGY RES,[Not Available],China,"A research institute under the Chinese Academy of Agricultural Sciences, focusing on biotechnology research in agriculture, including crop improvement, pest control, and sustainable agricultural practices.",[Not Available],Agricultural Biotechnology Research,Yes,No,Yes,No,
CHINESE ACAD AGRIC SCI COTTON RES INST,[Not Available],China,"A research institute under the Chinese Academy of Agricultural Sciences, dedicated to cotton research, including breeding, genetics, pest management, and improving cotton production efficiency.",[Not Available],Agricultural Research and Cotton Science,Yes,No,Yes,No,
CHINESE ACAD AGRIC SCI URBAN AGRIC INST,[Not Available],China,"An institute under the Chinese Academy of Agricultural Sciences, focusing on urban agriculture research, including sustainable farming practices, vertical farming, and integrating agriculture into urban environments.",[Not Available],Urban Agriculture Research,Yes,No,Yes,No,
CHINESE ARMED POLICE FORCE CHARACTERISTI,[Not Available],China,"A specialized medical research and healthcare institution within the Chinese Armed Police Force, focusing on medical treatments and healthcare services for the armed forces, particularly in areas of specialized care.",[Not Available],Military Healthcare and Research,Yes,No,Yes,Yes,
CHINESE DISEASE CONTROL & PREVENTION CEN,[Not Available],China,"A national institution focused on disease control and prevention in China, providing research, guidelines, and support to improve public health and manage disease outbreaks across the country.",[Not Available],Public Health and Disease Control,Yes,No,Yes,Yes,
CHINESE PEOPLES LIBERATION ARMY DISEASE,[Not Available],China,"A specialized medical institution under the Chinese People's Liberation Army, focusing on the prevention and treatment of diseases within the military, including research and development of military medicine.",[Not Available],Military Medicine and Disease Control,Yes,No,Yes,Yes,
CHINESE PEOPLES LIBERATION ARMY GEN HOSP,[Not Available],China,"The General Hospital of the Chinese People's Liberation Army, providing comprehensive healthcare services to military personnel, including specialized treatments, surgery, diagnostics, and medical research.",[Not Available],Military Healthcare and Medical Services,Yes,No,Yes,Yes,
CHINESE PEOPLES LIBERATION ARMY GROUND,[Not Available],China,"A medical research and healthcare institution under the Chinese People's Liberation Army Ground Force, focusing on specialized care, disease prevention, and medical research related to ground force operations.",[Not Available],Military Medicine and Research,Yes,No,Yes,Yes,
CHINESE PLA GEN HOSPITAL,[Not Available],China,"The General Hospital of the Chinese People's Liberation Army, offering a wide range of medical services and healthcare to military personnel, including cutting-edge medical research and specialized treatments.",[Not Available],Military Healthcare and Medical Services,Yes,No,Yes,Yes,
CHINESE PLA GEN HOSPITAL SECOND MEDICAL,[Not Available],China,"The Second Medical Center of the Chinese People's Liberation Army General Hospital, providing specialized healthcare services, including emergency care, surgery, and diagnostics, with a focus on military medicine.",[Not Available],Military Healthcare and Medical Services,Yes,No,Yes,Yes,
CHIPONE TECHNOLOGY BEIJING CO LTD,[Not Available],China,"A technology company specializing in the development and production of semiconductor products, including integrated circuits and display driver chips, with applications in consumer electronics and industrial devices.",[Not Available],Semiconductor Technology,No,Yes,Yes,No,
CHIRACON GMBH,[Not Available],Germany,"A pharmaceutical and biotechnology company focused on drug development and clinical research, offering services in drug formulation, testing, and regulatory support for the global market.",[Not Available],Pharmaceuticals and Biotechnology,No,Yes,Yes,No,
CHIRHOCLIN INC,[Not Available],United States,"A biotechnology company specializing in the development of diagnostic and therapeutic products for gastrointestinal and pancreatic diseases, including innovative treatments and diagnostic tools.",[Not Available],Biotechnology and Diagnostics,No,Yes,Yes,No,
CHIRU ANIMAL HEALTH PROD CO LTD,[Not Available],China,"A company focused on the development and production of animal health products, including vaccines, medications, and nutritional supplements for livestock and companion animals.",[Not Available],Animal Health and Veterinary Products,No,Yes,No,No,
CHITKARA INNOVATION INCUBATOR FOUND,[Not Available],India,"An innovation and incubation center supporting startups and research in various fields, including technology, healthcare, and education, providing resources and mentorship to foster innovation and entrepreneurship.",[Not Available],Innovation and Incubation,No,Yes,Yes,No,
CHITOZAN HEALTH LLC,[Not Available],United States,"A health and wellness company focused on the development of chitosan-based products, including dietary supplements, wound care products, and other health-related applications derived from natural sources.",[Not Available],Health and Wellness,No,Yes,No,No,
CHIVALRY HEALTH INC,[Not Available],United States,"A healthcare technology company providing digital health solutions, including telemedicine platforms, patient management systems, and health data analytics, aimed at improving healthcare delivery and patient outcomes.",[Not Available],Healthcare Technology,No,Yes,No,No,
CHO PHARMA INC,[Not Available],Taiwan,"A biopharmaceutical company engaged in the development of innovative drugs and therapies, focusing on immuno-oncology, infectious diseases, and chronic illnesses, leveraging advanced biotechnology platforms.",[Not Available],Biopharmaceuticals and Drug Development,No,Yes,Yes,No,
CHO PLUS INC,[Not Available],South Korea,"A biotechnology company specializing in the development and production of cell culture media and reagents for research and industrial applications, particularly in the fields of biotechnology and pharmaceuticals.",[Not Available],Biotechnology and Pharmaceuticals,No,Yes,Yes,No,
CHOGNQING JIANGJIN CENT HOSPITAL,[Not Available],China,"A major healthcare facility in Chongqing providing comprehensive medical services, including emergency care, surgery, diagnostics, and specialized treatments, with a focus on patient-centered care.",[Not Available],Healthcare and Medical Services,Yes,No,Yes,Yes,
CHONG KUN DANG PHARM CORP,[Not Available],South Korea,"A leading pharmaceutical company in South Korea, engaged in the development, production, and marketing of a wide range of pharmaceutical products, including prescription drugs, over-the-counter medications, and health supplements.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,
CHONGQING BASIDE BIOMEDICAL TECHNOLOGY,[Not Available],China,"A biomedical company focused on the research, development, and commercialization of innovative medical devices and diagnostic tools, particularly for the treatment and management of chronic diseases.",[Not Available],Biomedical Technology,No,Yes,Yes,No,
CHONGQING BOWEI BAITAI BIOLOGICAL PHARM CO LTD,[Not Available],China,"A pharmaceutical company engaged in the development and production of biological products, including vaccines, therapeutic proteins, and other biologics, focusing on improving public health outcomes.",[Not Available],Biotechnology and Pharmaceuticals,No,Yes,Yes,No,
CHONGQING CHENGPIN PHARM CO LTD,[Not Available],China,"A pharmaceutical company specializing in the production of traditional Chinese medicine (TCM) and modern pharmaceuticals, aiming to integrate traditional and modern therapeutic approaches for better healthcare.",[Not Available],Pharmaceuticals and Traditional Medicine,No,Yes,No,No,
CHONGQING CHUNZHI BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company focused on the research and development of innovative biopharmaceuticals and diagnostic products, particularly in the areas of cancer, infectious diseases, and chronic conditions.",[Not Available],Biotechnology and Biopharmaceuticals,No,Yes,Yes,No,
CHONGQING GUOJI IMMUNOLOGY INNOVATION,[Not Available],China,"An immunology-focused research and development company, engaged in the creation of innovative immunotherapies and vaccines to combat various diseases, with a strong emphasis on cutting-edge research and clinical trials.",[Not Available],Immunology and Biopharmaceuticals,No,Yes,Yes,No,
CHONGQING HONGJIANG MECHANICAL FACTORY,[Not Available],China,"A mechanical engineering company specializing in the manufacturing of industrial machinery and equipment, serving various sectors including automotive, aerospace, and heavy industry.",[Not Available],Mechanical Engineering and Manufacturing,No,Yes,No,No,
CHONGQING HUAPU ENVIRONMENTAL PROTECTION,[Not Available],China,"A company focused on environmental protection technologies, providing solutions for waste management, pollution control, and sustainable development, with a commitment to improving environmental quality.",[Not Available],Environmental Technology and Services,No,Yes,No,No,
CHONGQING HUAPU QUANTUM TECHNOLOGY CO,[Not Available],China,"A technology company specializing in quantum computing and related technologies, developing advanced quantum systems for applications in cryptography, computing, and telecommunications.",[Not Available],Quantum Technology and Computing,No,Yes,Yes,No,
CHONGQING ISIA BIO-TECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company engaged in the research and development of biopharmaceuticals, diagnostics, and therapeutic products, with a focus on innovation in healthcare and medicine.",[Not Available],Biotechnology and Biopharmaceuticals,No,Yes,Yes,No,
CHONGQING JINGYIN BIOLOGICAL TECHNOLOGY,[Not Available],China,"A biotechnology company focused on the development of biological products, including diagnostics and therapeutic agents, with a focus on innovation in healthcare solutions.",[Not Available],Biotechnology,No,Yes,Yes,No,
CHONGQING JUNTONG BIOTECHNOLOGY CO LTD,[Not Available],China,"A company specializing in biotechnology research and the production of medical and health-related products, with an emphasis on innovative solutions for disease prevention and treatment.",[Not Available],Biotechnology and Healthcare,No,Yes,Yes,No,
CHONGQING KANGXUN BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company engaged in the research, development, and commercialization of medical diagnostics and therapeutic products, with a focus on improving public health.",[Not Available],Biotechnology and Medical Diagnostics,No,Yes,Yes,No,
CHONGQING MENGHE BIOTECHNOLOGY CO LTD,[Not Available],China,"A company focused on the development of biopharmaceutical products, including vaccines and therapeutics, aimed at addressing various infectious and chronic diseases.",[Not Available],Biopharmaceuticals,No,Yes,Yes,No,
CHONGQING MINGDAO HAOYUE BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company specializing in the research and development of diagnostic and therapeutic products, focusing on innovative healthcare solutions for a range of medical conditions.",[Not Available],Biotechnology,No,Yes,Yes,No,
CHONGQING NANPENG ARTIFICIAL INTELLIGENCE,[Not Available],China,"A company focused on the development of artificial intelligence technologies, particularly for applications in healthcare, diagnostics, and smart systems, aiming to enhance medical and technological advancements.",[Not Available],Artificial Intelligence and Healthcare Technology,No,Yes,Yes,No,
CHONGQING PEOPLES HOSPITAL,[Not Available],China,"A major healthcare institution in Chongqing, offering a wide range of medical services, including specialized treatments, emergency care, surgery, and diagnostics, with a strong emphasis on patient care and medical research.",[Not Available],Healthcare and Medical Services,Yes,No,Yes,Yes,
CHONGQING PHARM RES INST CO LTD,[Not Available],China,"A pharmaceutical research institute involved in the development of new drugs and therapies, with a focus on innovative pharmaceutical research and biopharmaceutical product development.",[Not Available],Pharmaceutical Research and Development,No,Yes,Yes,No,
CHONGQING PHARSCIN PHARM CO LTD,[Not Available],China,"A pharmaceutical company specializing in the production and distribution of pharmaceutical products, including traditional Chinese medicine and modern pharmaceuticals, aimed at improving healthcare outcomes.",[Not Available],Pharmaceuticals,No,Yes,No,No,
CHONGQING PORTON PHARM TECHNOLOGY CO LTD,[Not Available],China,"A pharmaceutical technology company providing contract research and manufacturing services (CRAMS) for the development and production of pharmaceutical products, focusing on quality and innovation.",[Not Available],Pharmaceutical Technology and CRAMS,No,Yes,Yes,No,
CHONGQING PUBLIC HEALTH MEDICAL CENT,[Not Available],China,"A public health institution focused on disease prevention, public health research, and the provision of medical services to the community, particularly in the areas of infectious diseases and public health emergencies.",[Not Available],Public Health and Medical Services,Yes,No,Yes,Yes,
CHONGQING PUJI LIFE TECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company engaged in the development of life sciences technologies, including biopharmaceuticals and diagnostic tools, with a focus on improving human health and well-being.",[Not Available],Biotechnology and Life Sciences,No,Yes,Yes,No,
CHONGQING PUROTON GENE MEDICAL RES INST,[Not Available],China,"A research institute specializing in genetic research and medical biotechnology, focusing on the development of gene therapies, diagnostics, and personalized medicine approaches to treat various diseases.",[Not Available],Genetic Research and Biotechnology,No,Yes,Yes,No,
CHONGQING RED CROSS HOSPITAL PEOPLES HOS,[Not Available],China,"A hospital affiliated with the Red Cross, providing a range of medical services, including emergency care, surgery, and specialized treatments, with a focus on humanitarian healthcare and patient care.",[Not Available],Healthcare and Medical Services,Yes,No,Yes,Yes,
CHONGQING SIMOUN NEW ENERGY DEV CO LTD,[Not Available],China,"A company focused on the development and production of new energy technologies, including renewable energy solutions and energy-efficient products, aimed at promoting sustainability and reducing environmental impact.",[Not Available],Renewable Energy and Sustainability,No,Yes,No,No,
CHONGQING TANSHENG TECHNOLOGY CO LTD,[Not Available],China,"A technology company engaged in research and development of advanced technologies, including industrial automation, smart systems, and innovative solutions for various industries.",[Not Available],Technology and Industrial Automation,No,Yes,Yes,No,
CHONGQING WENDA BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company specializing in the development of biopharmaceutical products, including vaccines, therapeutic proteins, and diagnostic tools, with a commitment to innovation in healthcare.",[Not Available],Biotechnology and Biopharmaceuticals,No,Yes,Yes,No,
CHONGQING WESTERN FRONTIER BIOLOGICAL,[Not Available],China,"A biotechnology company focused on research and development of innovative biological products, particularly in the areas of diagnostics, therapeutics, and healthcare solutions.",[Not Available],Biotechnology,No,Yes,Yes,No,
CHONGQING WULONG PEOPLES HOSPITAL,[Not Available],China,"A regional hospital providing comprehensive healthcare services, including emergency care, surgery, diagnostics, and specialized treatments, with a focus on serving the local community.",[Not Available],Healthcare and Medical Services,Yes,No,Yes,Yes,
CHONGQING YONGRENXIN MEDICAL INSTR CO,[Not Available],China,"A company specializing in the production and development of medical instruments and devices, with a focus on innovation and quality in healthcare technology.",[Not Available],Medical Instruments and Devices,No,Yes,No,No,
CHONGQING YOUAI BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company focused on the research and development of biopharmaceuticals and diagnostic products, aiming to advance healthcare through innovative solutions.",[Not Available],Biotechnology and Biopharmaceuticals,No,Yes,Yes,No,
CHONGQING YUNHE BIOTECHNOLOGY CO LTD,[Not Available],China,"A biotechnology company engaged in the development of innovative biotechnological products, including therapeutics and diagnostics, with a focus on addressing major health challenges.",[Not Available],Biotechnology,No,Yes,Yes,No,
CHONGQING ZHENMINRUN TECHNOLOGY CO LTD,[Not Available],China,"A technology company involved in the development of advanced industrial solutions, including automation, smart technology, and innovative products for various sectors.",[Not Available],Industrial Technology and Automation,No,Yes,No,No,
CHONGQING ZHIFEI BIOLOGICAL PROD CO LTD,[Not Available],China,"A leading biopharmaceutical company specializing in the research, development, and production of vaccines and other biological products, with a strong focus on public health and disease prevention.",[Not Available],Biopharmaceuticals and Vaccines,No,Yes,Yes,No,
CHONGQING ZHONGYUAN HUIJI BIOTECHNOLOGY,[Not Available],China,"A biotechnology company focused on the development and commercialization of innovative biological products, including therapeutic agents and diagnostics for various medical conditions.",[Not Available],Biotechnology and Biopharmaceuticals,No,Yes,Yes,No,
CHOONG ANG VACCINE LAB,[Not Available],South Korea,"A biotechnology company specializing in the research, development, and production of vaccines for both human and veterinary use, with a focus on innovation in immunology and disease prevention.",[Not Available],Vaccines and Biotechnology,No,Yes,Yes,No,
CHOONGANG OCEAN CO LTD,[Not Available],South Korea,"A company focused on the development and implementation of marine and oceanographic technologies, including research and solutions for sustainable ocean resource management and marine engineering.",[Not Available],Marine Technology and Oceanography,No,Yes,Yes,No,
CHORUS LLC,[Not Available],United States,"A healthcare technology company providing digital health solutions, including patient management systems, telemedicine platforms, and health data analytics, aimed at improving healthcare delivery and outcomes.",[Not Available],Healthcare Technology,No,Yes,No,No,
CHROMACH CO LTD,[Not Available],Japan,"A company specializing in the development and production of advanced chromatography systems and analytical instruments for use in pharmaceutical, chemical, and environmental testing.",[Not Available],Analytical Instruments and Chromatography,No,Yes,Yes,No,
CHROMACODE INC,[Not Available],United States,"A biotechnology company specializing in the development of multiplexed molecular diagnostics for clinical laboratories, with a focus on improving the accuracy and efficiency of diagnostic testing through proprietary technology.",[Not Available],Biotechnology and Molecular Diagnostics,No,Yes,Yes,No,
CHROMIS CO LTD,[Not Available],Japan,"A company focused on the production of high-quality optical fibers and related materials, serving industries such as telecommunications, medical devices, and industrial applications.",[Not Available],Optical Fiber and Telecommunications,No,Yes,No,No,
CHROMIS LLC,[Not Available],United States,"A technology company specializing in the development and manufacturing of optical fibers and fiber-optic components, with applications in telecommunications, medical imaging, and industrial systems.",[Not Available],Optical Fiber Technology,No,Yes,No,No,
CHROMOCELL CORP,[Not Available],United States,"A biotechnology company focused on the discovery and development of natural compounds and therapies for the treatment of pain and other sensory disorders, using proprietary cell-based screening technologies.",[Not Available],Biotechnology and Sensory Science,No,Yes,Yes,No,
CHRONIC AIRWAY THERAPEUTICS LTD,[Not Available],Australia,"A pharmaceutical company dedicated to developing treatments for chronic respiratory diseases, including therapies targeting chronic obstructive pulmonary disease (COPD) and asthma.",[Not Available],Pharmaceuticals and Respiratory Therapeutics,No,Yes,Yes,No,
CHRONOFANG KK,[Not Available],Japan,"A technology company focused on developing wearable devices and smart technologies that monitor and improve sleep patterns, health metrics, and overall well-being through advanced sensor technology.",[Not Available],Wearable Technology and Health Monitoring,No,Yes,Yes,No,
CHRU TOURS,[Not Available],France,"A regional university hospital center in Tours, France, providing comprehensive healthcare services, including specialized treatments, medical research, and education for healthcare professionals.",[Not Available],Healthcare and Medical Research,Yes,No,Yes,Yes,
CHRYSALIS BIOTHERAPEUTICS,[Not Available],United States,"A biotechnology company focused on developing novel therapies for the treatment of life-threatening conditions, including radiation injuries, through innovative biotherapeutics.",[Not Available],Biotechnology and Biotherapeutics,No,Yes,Yes,No,
